name,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,hp,defense + hit,height_m,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,attack&defense,Total
Wimpod,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,35,5120,70,230,90,Turn Tail Pokémon,40,1000000,25,65,0.5,Wimpod,50,767,20,30,80,bug,water,12,7,0,50,195
Roggenrola,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,75,3840,70,280,255,Mantle Pokémon,85,1059860,55,140,0.4,Roggenrola,50,524,25,25,15,rock,,18,5,0,50,205
Makuhita,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,60,5120,70,237,180,Guts Pokémon,30,1640000,72,102,1,Makuhita,75.4,296,20,30,25,fighting,,86.4,3,0,50,177
Scatterbug,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,200,255,Scatterdust Pokémon,40,1000000,38,78,0.3,Scatterbug,50,664,27,25,35,bug,,2.5,6,0,52,165
Bonsly,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,80,5120,70,290,255,Bonsai Pokémon,95,1000000,50,145,0.5,Bonsly,50,438,10,45,10,rock,,15,4,0,55,210
Spewpa,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,22,3840,70,213,120,Scatterdust Pokémon,60,1000000,45,105,0.3,Spewpa,50,665,27,30,29,bug,,8.4,6,0,57,191
Cosmog,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,29,30720,0,200,45,Nebula Pokémon,31,1250000,43,74,0.2,Cosmog,,789,29,31,37,psychic,,0.1,7,1,60,171
Igglybuff,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,30,2560,70,210,170,Balloon Pokémon,15,800000,90,105,0.3,Igglybuff,24.6,174,40,20,15,normal,fairy,1,2,0,60,180
Shedinja,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,90,3840,70,236,45,Shed Pokémon,45,600000,1,46,0.8,Shedinja,,292,30,30,40,bug,ghost,1.2,3,0,60,146
Pikipek,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,75,3840,70,265,255,Woodpecker Pokémon,30,1000000,35,65,0.3,Pikipek,50,731,30,30,65,normal,flying,1.2,7,0,60,190
Sunkern,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,180,235,Seed Pokémon,30,1059860,30,60,0.3,Sunkern,50,191,30,30,30,grass,,1.8,2,0,60,150
Azurill,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,20,2560,70,190,150,Polka Dot Pokémon,40,800000,50,90,0.2,Azurill,24.6,298,20,40,20,normal,fairy,2,3,0,60,170
Starly,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,55,3840,70,245,255,Starling Pokémon,30,1059860,40,70,0.3,Starly,50,396,30,30,60,normal,flying,2,4,0,60,190
Taillow,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,55,3840,70,270,200,TinySwallow Pokémon,30,1059860,40,70,0.3,Taillow,50,276,30,30,85,normal,flying,2.3,3,0,60,215
Seedot,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,3840,70,220,255,Acorn Pokémon,50,1059860,40,90,0.5,Seedot,50,273,30,30,30,grass,,4,3,0,60,180
Nincada,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,45,3840,70,266,255,Trainee Pokémon,90,600000,31,121,0.5,Nincada,50,290,30,30,40,bug,ground,5.5,3,0,60,221
Yungoos,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,3840,70,253,255,Loitering Pokémon,30,1000000,48,78,0.4,Yungoos,50,734,30,30,45,normal,,6,7,0,60,183
Swinub,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,5120,70,250,225,Pig Pokémon,40,1250000,50,90,0.4,Swinub,50,220,30,30,50,ice,ground,6.5,2,0,60,200
Timburr,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,Muscular Pokémon,55,1059860,75,130,0.6,Timburr,75.4,532,25,35,35,fighting,,12.5,5,0,60,225
Poochyena,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,55,3840,70,220,255,Bite Pokémon,35,1000000,35,70,0.5,Poochyena,50,261,30,30,35,dark,,13.6,3,0,60,165
Cranidos,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,125,7680,70,350,45,Head Butt Pokémon,40,600000,67,107,0.9,Cranidos,88.1,408,30,30,58,rock,,31.5,4,0,60,225
Darumaka,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,90,5120,70,315,120,Zen Charm Pokémon,45,1059860,70,115,0.6,Darumaka,50,554,15,45,50,fire,,37.5,5,0,60,225
Rhyhorn,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,5120,70,345,120,Spikes Pokémon,95,1250000,80,175,1,Rhyhorn,50,111,30,30,25,ground,rock,115,1,0,60,260
Rattata,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,255,Mouse Pokémon,35,1000000,30,65,,Rattata,50,19,25,35,72,normal,dark,,1,0,60,197
Geodude,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,300,255,Rock Pokémon,100,1059860,40,140,,Geodude,50,74,30,30,20,rock,ground,,1,0,60,220
Spearow,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,40,70,0.3,Spearow,50,21,31,31,70,normal,flying,2,1,0,62,202
Feebas,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,15,5120,70,200,255,Fish Pokémon,20,600000,20,40,0.6,Feebas,50,349,10,55,80,water,,7.4,3,0,65,185
Smeargle,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,20,5120,70,250,45,Painter Pokémon,35,800000,55,90,1.2,Smeargle,50,235,20,45,75,normal,,58,2,0,65,230
Pidove,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,55,3840,70,264,255,Tiny Pigeon Pokémon,50,1059860,50,100,0.3,Pidove,50,519,36,30,43,normal,flying,2.1,5,0,66,209
Kricketot,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,25,3840,70,194,255,Cricket Pokémon,41,1059860,37,78,0.3,Kricketot,50,401,25,41,25,bug,,2.2,4,0,66,169
Bergmite,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,69,5120,70,304,190,Ice Chunk Pokémon,85,1000000,55,140,1,Bergmite,50,712,32,35,28,ice,,99.5,6,0,67,235
Bounsweet,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,210,235,Fruit Pokémon,38,1059860,42,80,0.3,Bounsweet,0,761,30,38,32,grass,,3.2,7,0,68,180
Bunnelby,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,36,3840,70,237,255,Digging Pokémon,38,1000000,38,76,0.4,Bunnelby,50,659,32,36,57,normal,,5,6,0,68,201
Venipede,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,3840,70,260,255,Centipede Pokémon,59,1059860,30,89,0.4,Venipede,50,543,30,39,57,bug,poison,5.3,5,0,69,215
Pidgey,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,40,80,0.3,Pidgey,50,16,35,35,56,normal,flying,1.8,1,0,70,206
Pichu,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,2560,70,205,190,Tiny Mouse Pokémon,15,1000000,20,35,0.3,Pichu,50,172,35,35,60,electric,,2,2,0,70,165
Shellder,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,305,190,Bivalve Pokémon,100,1250000,30,130,0.3,Shellder,50,90,45,25,40,water,,4,1,0,70,240
Lillipup,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3840,70,275,255,Puppy Pokémon,45,1059860,45,90,0.4,Lillipup,50,506,25,45,55,normal,,4.1,5,0,70,215
Jigglypuff,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,Balloon Pokémon,20,800000,115,135,0.5,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0,70,225
Pineco,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,5120,70,290,190,Bagworm Pokémon,90,1000000,50,140,0.6,Pineco,50,204,35,35,15,bug,,7.2,2,0,70,225
Zubat,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,Bat Pokémon,35,1000000,40,75,0.8,Zubat,50,41,30,40,55,poison,flying,7.5,1,0,70,200
Marill,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,20,2560,70,250,190,Aquamouse Pokémon,50,800000,70,120,0.4,Marill,50,183,20,50,40,water,fairy,8.5,2,0,70,230
Rockruff,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,65,3840,70,280,190,Puppy Pokémon,40,1000000,45,85,0.5,Rockruff,50,744,30,40,60,rock,,9.2,7,0,70,215
Skitty,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,3840,70,260,255,Kitten Pokémon,45,800000,50,95,0.6,Skitty,24.6,300,35,35,50,normal,,11,3,0,70,215
Dwebble,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,65,5120,70,325,190,Rock Inn Pokémon,85,1000000,50,135,0.3,Dwebble,50,557,35,35,55,bug,rock,14.5,5,0,70,260
Sandile,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2,72,5120,70,292,180,Desert Croc Pokémon,35,1059860,50,85,0.7,Sandile,50,551,35,35,65,ground,dark,15.2,5,0,70,220
Axew,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,87,10240,35,320,75,Tusk Pokémon,60,1250000,46,106,0.6,Axew,50,610,30,40,57,dragon,,18,5,0,70,233
Machop,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,Superpower Pokémon,50,1059860,70,120,0.8,Machop,75.4,66,35,35,35,fighting,,19.5,1,0,70,225
Tyrogue,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,35,6400,70,210,75,Scuffle Pokémon,35,1000000,35,70,0.7,Tyrogue,100,236,35,35,35,fighting,,21,2,0,70,175
Slakoth,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3840,70,280,255,Slacker Pokémon,60,1250000,60,120,0.8,Slakoth,50,287,35,35,30,normal,,24,3,0,70,220
Doduo,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,Twin Bird Pokémon,45,1000000,35,80,1.4,Doduo,50,84,35,35,75,normal,flying,39.2,1,0,70,225
Bagon,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,75,10240,35,300,45,Rock Head Pokémon,60,1250000,45,105,0.6,Bagon,50,371,40,30,50,dragon,,42.1,3,0,70,225
Wynaut,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,23,5120,70,260,125,Bright Pokémon,48,1000000,95,143,0.6,Wynaut,50,360,23,48,23,psychic,,14,3,0,71,237
Zigzagoon,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,3840,70,240,255,Tiny Racoon Pokémon,41,1000000,38,79,0.4,Zigzagoon,50,263,30,41,60,normal,,17.5,3,0,71,210
Honedge,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1,80,5120,70,325,180,Sword Pokémon,100,1000000,45,145,0.8,Honedge,50,679,35,37,28,steel,ghost,2,6,0,72,245
Combee,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,30,3840,70,244,120,Tiny Bee Pokémon,42,1059860,30,72,0.3,Combee,88.1,415,30,42,70,bug,flying,5.5,4,0,72,214
Burmy,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,29,3840,70,224,120,Bagworm Pokémon,45,1000000,40,85,0.2,Burmy,50,412,29,45,36,bug,,3.4,4,0,74,195
Shinx,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,5120,70,263,235,Flash Pokémon,34,1059860,45,79,0.5,Shinx,50,403,40,34,45,electric,,9.5,4,0,74,198
Patrat,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,3840,70,255,255,Scout Pokémon,39,1000000,45,84,0.5,Patrat,50,504,35,39,42,normal,,11.6,5,0,74,200
Whismur,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,51,5120,70,240,190,Whisper Pokémon,23,1059860,64,87,0.6,Whismur,50,293,51,23,28,normal,,16.3,3,0,74,189
Drilbur,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,85,5120,70,328,120,Mole Pokémon,40,1000000,60,100,0.3,Drilbur,50,529,30,45,68,ground,,8.5,5,0,75,243
Bidoof,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,3840,70,250,255,Plump Mouse Pokémon,40,1000000,59,99,0.5,Bidoof,50,399,35,40,31,normal,,20,4,0,75,205
Riolu,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,6400,70,285,75,Emanation Pokémon,40,1059860,40,80,0.7,Riolu,88.1,447,35,40,60,fighting,,20.2,4,0,75,215
Onix,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,6400,70,385,45,Rock Snake Pokémon,160,1000000,35,195,8.8,Onix,50,95,30,45,70,rock,ground,210,1,0,75,340
Fletchling,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,278,255,Tiny Robin Pokémon,43,1059860,45,88,0.3,Fletchling,50,661,40,38,62,normal,flying,1.7,6,0,78,228
Glameow,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,5120,70,310,190,Catty Pokémon,42,800000,49,91,0.5,Glameow,24.6,431,42,37,85,normal,,3.9,4,0,79,255
Minccino,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,300,255,Chinchilla Pokémon,40,800000,55,95,0.4,Minccino,24.6,572,40,40,75,normal,,5.8,5,0,80,250
Sentret,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,46,3840,70,215,255,Scout Pokémon,34,1000000,35,69,0.8,Sentret,50,161,35,45,20,normal,,6,2,0,80,169
Ralts,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,25,5120,35,198,235,Feeling Pokémon,25,1250000,28,53,0.4,Ralts,50,280,45,35,40,psychic,fairy,6.6,3,0,80,173
Nidoran♀,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,235,Poison Pin Pokémon,52,1059860,55,107,0.4,Nidoran♀,0,29,40,40,41,poison,,7,1,0,80,228
Snubbull,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,80,5120,70,300,190,Fairy Pokémon,50,800000,60,110,0.6,Snubbull,24.6,209,40,40,30,fairy,,7.8,2,0,80,220
Spinarak,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,3840,70,250,255,String Spit Pokémon,40,800000,40,80,0.5,Spinarak,50,167,40,40,30,bug,poison,8.5,2,0,80,190
Nidoran♂,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,235,Poison Pin Pokémon,40,1059860,46,86,0.5,Nidoran♂,100,32,40,40,50,poison,,9,1,0,80,216
Pawniard,1,0.5,0.5,1,1,4,2,0.5,0.5,0.5,2,0.5,0.5,0,0,0.5,0.5,1,85,5120,35,340,120,Sharp Blade Pokémon,70,1000000,45,115,0.5,Pawniard,50,624,40,40,60,dark,steel,10.2,5,0,80,255
Poliwag,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,255,Tadpole Pokémon,40,1059860,40,80,0.6,Poliwag,50,60,40,40,90,water,,12.4,1,0,80,250
Staravia,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,75,3840,70,340,120,Starling Pokémon,50,1059860,55,105,0.6,Staravia,50,397,40,40,80,normal,flying,15.5,4,0,80,265
Happiny,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,220,130,Playhouse Pokémon,5,800000,100,105,0.6,Happiny,0,440,15,65,30,normal,,24.4,4,0,80,215
Mankey,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,40,75,0.5,Mankey,50,56,35,45,70,fighting,,28,1,0,80,225
Phanpy,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,5120,70,330,120,Long Nose Pokémon,60,1000000,90,150,0.5,Phanpy,50,231,40,40,40,ground,,33.5,2,0,80,270
Slowpoke,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,315,190,Dopey Pokémon,65,1000000,90,155,1.2,Slowpoke,50,79,40,40,15,water,psychic,36,1,0,80,250
Hippopotas,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,72,7680,70,330,140,Hippo Pokémon,78,1250000,68,146,0.8,Hippopotas,50,449,38,42,32,ground,,49.5,4,0,80,258
Aron,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,70,8960,35,330,180,Iron Armor Pokémon,100,1250000,50,150,0.4,Aron,50,304,40,40,30,steel,rock,60,3,0,80,260
Diglett,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,Mole Pokémon,30,1000000,10,40,,Diglett,50,50,35,45,90,ground,ground,,1,0,80,210
Stunky,1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1,63,5120,70,329,225,Skunk Pokémon,47,1000000,63,110,0.4,Stunky,50,434,41,41,74,poison,dark,19.2,4,0,82,266
Blitzle,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,5120,70,295,190,Electrified Pokémon,32,1000000,45,77,0.8,Blitzle,50,522,50,32,76,electric,,29.8,5,0,82,235
Inkay,4,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,54,5120,70,288,190,Revolving Pokémon,53,1000000,53,106,0.4,Inkay,50,686,37,46,45,dark,psychic,3.5,6,0,83,234
Tynamo,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,5120,70,275,190,EleFish Pokémon,40,1250000,35,75,0.2,Tynamo,50,602,45,40,60,electric,,0.3,5,0,85,220
Fomantis,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,5120,70,250,190,Sickle Grass Pokémon,35,1000000,40,75,0.3,Fomantis,50,753,50,35,35,grass,,1.5,7,0,85,195
Karrablast,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,75,3840,70,315,200,Clamping Pokémon,45,1000000,50,95,0.5,Karrablast,50,588,40,45,60,bug,,5.9,5,0,85,240
Noibat,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,30,5120,70,245,190,Sound Wave Pokémon,35,1000000,40,75,0.5,Noibat,50,714,45,40,55,flying,dragon,8,6,0,85,215
Wingull,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,30,5120,70,270,190,Seagull Pokémon,30,1000000,40,70,0.6,Wingull,50,278,55,30,85,water,flying,9.5,3,0,85,240
Corphish,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,3840,70,308,205,Ruffian Pokémon,65,1640000,43,108,0.6,Corphish,50,341,50,35,35,water,,11.5,3,0,85,228
Skorupi,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,5120,70,330,120,Scorpion Pokémon,90,1250000,40,130,0.8,Skorupi,50,451,30,55,65,poison,bug,12,4,0,85,280
Goldeen,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,5120,70,320,225,Goldfish Pokémon,60,1000000,45,105,0.6,Goldeen,50,118,35,50,63,water,,15,1,0,85,253
Gible,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,70,10240,70,300,45,Land Shark Pokémon,45,1250000,58,103,0.7,Gible,50,443,40,45,42,dragon,ground,20.5,4,0,85,230
Carvanha,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,90,5120,35,305,225,Savage Pokémon,20,1250000,45,65,0.8,Carvanha,50,318,65,20,65,water,dark,20.8,3,0,85,215
Alomomola,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,10240,70,470,75,Caring Pokémon,80,800000,165,245,1.2,Alomomola,50,594,40,45,65,water,,31.6,5,0,85,395
Golett,0.5,2,1,0,1,0,1,1,2,2,1,2,0,0.25,1,0.5,1,2,74,6400,70,303,190,Automaton Pokémon,50,1000000,59,109,1,Golett,,622,35,50,35,ground,ghost,92,5,0,85,229
Cottonee,1,0.5,0,0.5,1,0.5,2,2,1,0.5,0.5,2,1,4,1,1,2,0.5,27,5120,70,280,190,Cotton Puff Pokémon,60,1000000,40,100,0.3,Cottonee,50,546,37,50,66,grass,fairy,0.6,5,0,87,253
Barboach,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,48,5120,70,288,190,Whiskers Pokémon,43,1000000,50,93,0.4,Barboach,50,339,46,41,60,water,ground,1.9,3,0,87,240
Purrloin,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,50,5120,70,281,255,Devious Pokémon,37,1000000,41,78,0.4,Purrloin,50,509,50,37,66,dark,,10.1,5,0,87,231
Rufflet,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,83,5120,70,350,190,Eaglet Pokémon,50,1250000,70,120,0.5,Rufflet,100,627,37,50,60,normal,flying,10.5,5,0,87,267
Steenee,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,5120,70,290,120,Fruit Pokémon,48,1059860,52,100,0.7,Steenee,0,762,40,48,62,grass,,8.2,7,0,88,250
Crabrawler,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,82,5120,70,338,225,Boxing Pokémon,57,1000000,47,104,0.6,Crabrawler,50,739,42,47,63,fighting,,7,7,0,89,256
Kartana,1,1,0.5,0.5,0.5,2,4,1,1,0.25,1,1,0.5,0,0.5,0.5,0.5,0.5,181,30720,0,570,255,Drawn Sword Pokémon,131,1250000,59,190,0.3,Kartana,,798,59,31,109,grass,steel,0.1,7,1,90,389
Hoppip,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,5120,70,250,255,Cottonweed Pokémon,40,1059860,35,75,0.4,Hoppip,50,187,35,55,50,grass,flying,0.5,2,0,90,215
